=== 轴号命名表(1).xls ===
  Row 0: ['轴号', '名称']
  Row 1: ['轴1', '胶盘']
  Row 2: ['轴2', '点胶平台X轴']
  Row 3: ['轴3', '点胶平台Y轴']
  Row 4: ['轴7', '取晶臂转动']
  Row 5: ['轴8', '点胶臂转动']
  Row 6: ['轴9', '点胶臂上下']
  Row 7: ['轴10', '取晶臂上下']
  Row 8: ['轴11', '上顶针']
  Row 9: ['轴12', '下顶针']
  Row 10: ['轴13', '取晶平台X轴']
  Row 11: ['轴14', '取晶平台Y轴']
  Row 12: ['轴15', '取晶平台W轴']
  Row 13: ['轴16', '抓手']
